varnames,orig_unit,conv_factor,ylabel
GPP_PI_F_1_1_1,umolCO2 m-2 s-1,1.03775,GPP [$gC~m^{-2}~day^{-1}$]
NEE_PI_F_1_1_1,umolCO2 m-2 s-1,1.03775,NEE [$gC~m^{-2}~day^{-1}$]
RECO_PI_F_1_1_1,umolCO2 m-2 s-1,1.03775,ER [$gC~m^{-2}~day^{-1}$]
G_PI_F_1_1_1,W m-2,1,G [$W~m^{-2}$]
LE_PI_F_1_1_1,W m-2,1,EFLX_LH_TOT [$W~m^{-2}$]
H_PI_F_1_1_1,W m-2,1,FSH_LH_TOT [$W~m^{-2}$]
TA_PI_F_1_1_1,C,1,TA [C]
RH_PI_F_1_1_1,%,1,RH [%]
P_PI_F_1_1_1,mm,1,P [mm]
WS_1_1_1,m sec-1,1,WIND [$m^sec{-1}$]
PA_PI_F_1_1_1,Pa,1000,PSRF [Pa]
SW_IN_PI_F_1_1_1,W m-2,1,FSDS [$W~m^{-2}$]
LW_IN_PI_F_1_1_1,W m-2,1,FLDS [$W~m^{-2}$]
